Influencer Name,Youtube/Facebook,Subscriber count,Total views,Video Title,Video link,Video likes,Video total views,Video duration,Comments,Comment likes,Comments date,Total comments,Video Reactions,Heart,Care,Haha,Wow,Sad ,Angry,Video uploaded,Hashtags Used
Cong TV,Youtube ,"12,000,000","1,835,381,017",JOKWARD,https://www.youtube.com/watch?v=2vN0BAy_cws,378k,"15,349,586",17:43,Si keng talaga ang bilis matawa kahit kailan. Kahit di ko pa natatapos yung vid alam kong goodvibes nanaman bago matulog. sana makita ko kayo soon Team Payaman!!!,7.4K,2 years ago,"11,181",,,,,,,,4/12/2022,
,,,,,,,,,"Sakto. Need ko to today! Thank you, Team Payaman!",646,2 years ago,,,,,,,,,,
,,,,,,,,,"ongrats, This particular video won this year's Youtube awards",60,2 years ago,,,,,,,,,,
,,,,,,,,,Cong TV low-key flexing his distributors and resellers while making his subscribers laugh,3.2K,2 years ago,,,,,,,,,,
,,,,,,,,,"For the whole 17 mins nakalimutan ko na may pinag dadaanan ako at ang pamilya ko. sorbrang pinatawa mo ko Boss Cong. Since December pa ko depress at kinakaya ko nalang dahil may pamilya ako pero sa loob loob ko gusto ko ng sumuko at ipag pasa diyos nalang lahat. Maraming salamat sayo Boss kasi kahit panandalian tinanggal mo ang lungkot ang dibdib ko. :) More power to you.	",191,2 years ago,,,,,,,,,,
,,,,"THE JUNNIEBOY PRANK	",https://www.youtube.com/watch?v=LBpHFAnsToA|https://www.youtube.com/watch?v=LBpHFAnsToA||https://www.youtube.com/watch?v=LBpHFAnsToA,551k,"14,120,406",26:09:00,"	Ito ang patunay na si Cong talaga ang ""The Greatest Prankster!"" HAHAHAHAHAHAHAHAHAHA",2.2K,4 years ago,"31,543",,,,,,,,,
,,,,,,,,,"even after all these years, ""PUTANGINA BOI NASA SILANG NA!"" still remains legendary.",4.3K,3 years ago,,,,,,,,,8/21/2018,
,,,,,,,,,"Watching it again after cong says ""We are the greatest prankster, so we are unprankable"" on Viy's vlog",2.1K,1 year ago,,,,,,,,,,
,,,,,,,,,2022 watching pa din kakadala tawa ni cong puutek dami ko tawa kay junnie boy. p*tang na nasa silang na pinatrace ni kuya,372,2 years ago,,,,,,,,,,
,,,,,,,,,"After almost 4 years, nakakamiss din talaga manood ng past vlogs ng team Payaman, hoping na kuya Emman is guiding you guys, and kuya Pau will be on your vlogs sooon!!!! more power team Payaman!!!",791,2 years ago,,,,,,,,,,
,,,,PAANO NAUBOS ANG 1M KO SA LOOB NG 15 MINUTO,https://www.youtube.com/watch?v=2BLr718PScY&t=645s|https://www.youtube.com/watch?v=2BLr718PScY&t=645s||https://www.youtube.com/watch?v=2BLr718PScY&t=645s,542k,"13,675,013",21:53,"Cong is the definition of ""if i go on top, i'm taking everyone with me"".",2.2K,3 years ago,"25,116",,,,,,,,,
,,,,,,,,,the way junjun was just thinking about mavi all throughout the video is so priceless,3.3K,3 years ago,,,,,,,,,6/4/2021,
,,,,,,,,,I like the way Junnie Boy Thinks his son while doing the task! Yan yung nagsasaya ka kasama tropa tapos responsible father ka parin naks naman salute kay Kuya Junnie Boy! And sa lahat ng Team Payaman!,1.3K,3 years ago,,,,,,,,,,
,,,,,,,,,"“lahat ng pinamili nyo ay mapupunta sa ahavah ministry foundation”. kaya ka patuloy na pinag papala e! salamat sayo, Lincoln and may the God always bless your heart and soul. proud kami palagi sayo!!! ?",177,3 years ago,,,,,,,,,,
,,,,,,,,,"""wag kayong mag panggap na masaya kayo!"" hahaha! pero realtalk di ko inexpect na for charity ito. team payaman will always and forever be my favorite social media empire. god bless ever single one of you. ?",216,3 years ago,,,,,,,,,,
